QUT ID #,Reference #,Name of Model,Manufacturer,Location,W Count,Q Count,Total Count,Expected Quantity
11.73,MS 48/3-3,"Anatomy of Human Embryos (approximately 3 weeks) - Enlarged 53x, Open back",SOMSO,Compactus,1,0,1,1
11.74,MS 48/3-4,"Anatomy of Human Embryos (approximately 3 weeks) - Enlarged 53x, Displays internal organs ",SOMSO,Compactus,1,0,1,1
11.75,MS 48/3-5,"Anatomy of Human Embryos (approximately 4 weeks) - Enlarged 50x, Open side ",SOMSO,Compactus,1,0,1,1
11.76,MS 48/3-6,"Anatomy of Human Embryos (approximately 4 weeks) - Enlarged 50x, Open Thoracic & Adbominal cavity",SOMSO,Compactus,1,0,1,1
11.77,MS 48/3-7,"Anatomy of Human Embryos (end of 4 weeks) - Enlarged 30x, Open laterally ",SOMSO,Compactus,1,0,1,1
11.78,MS 48/3-8,"Anatomy of Human Embryos (end of 4 weeks) - Enlarged 30x, Open laterally with vascular details",SOMSO,Compactus,1,0,1,1
11.81,MS 49 (1/8),Brain of Human Embryo (approximately 4 weeks),SOMSO,Compactus,1,0,1,1
11.82,MS 49 (2/8),Brain of Human Embryo (approximately 4.5 weeks),SOMSO,Compactus,1,0,1,1
11.83,MS 49 (3/8),Brain of Human Embryo (approximately 5 weeks) - View of Lateral Ventricles,SOMSO,Compactus,1,0,1,1
11.84,MS 49 (4/8),Brain of Human Embryo (approximately 5 weeks) - Cross Section,SOMSO,Compactus,1,0,1,1
11.85,MS 49 (5/8),Brain of Human Embryo (approximately 5 weeks) - Cerebellum removed for view of Brain Stem,SOMSO,Compactus,1,0,1,1
11.86,MS 49 (6/8),Brain of Human Foetus (3 months) - View of Lateral Ventricles,SOMSO,Compactus,1,0,1,1
11.87,MS 49 (7/8),Brain of Human Foetus (3 months) - Cross Section,SOMSO,Compactus,1,0,1,1
11.88,MS 49 (8/8),Brain of Human Foetus (3 months) - View of Deep Structures,SOMSO,Compactus,1,0,1,1
11.90,MS 16,Foetal Circulatory System (2 parts),SOMSO,W306,2,0,2,2
12.01,GS 10,Larynx large with flexible ligaments,SOMSO,Cupboard 51,1,2,3,3
12.11,GS 6,Larynx,SOMSO,Cupboard 51,5,2,7,7
12.21,GS 4/1,Bronchial Tree,SOMSO,Cupboard 50,8,4,12,12
12.211,GS 5,Larynx with Trachea (6 parts),SOMSO,Q704,0,2,2,2
12.31,HS 23,Lobule of the Lung and Alveoli ,SOMSO,Cupboard 50,6,2,8,8
13.01,JS 2/2,Digestive Tract Slab,SOMSO,Cupboard 32,6,2,8,8
13.03,JS 8/1,Transparent Liver with Vascular Architecture,SOMSO,Cupboard 51,1,0,1,1
13.04,JS 8/2,Transparent Liver and Gallbladder with Vascular Architecture (Large),SOMSO,Cupboard 51,1,0,1,1
13.10,ES 14/1,Development of a Set of Teeth (8 parts),SOMSO,Cupboard 54,1,0,1,1
13.11,ES 14,Development of a Set of Teeth ,SOMSO,Cupboard 54,1,0,1,1
13.12,ES 11/5,First Upper Molar with Three Roots,SOMSO,Cupboard 54,2,0,2,2
13.20,JS 4,Stomach (2 parts),SOMSO,Cupboard 54,4,0,4,4
13.41,0142-00,Villus,Denoyer Geppert,Cupboard 52,7,3,10,10
13.51,JS 11,Pancreas with Spleen and Duodenum,SOMSO,Cupboard 53,6,3,9,9
13.52,K22/3,Rear Organs of Upper Abdomen,3B,Cupboard 53,2,0,2,2
13.61,JS 8,Liver with Gallbladder,SOMSO,Cupboard 51,6,2,8,8
14.11,LS 1,Right Kidney on Stand,SOMSO,Cupboard 56,1,0,1,1
14.21,LS 9,3 Part Kidney Slab,SOMSO,Cupboard 57 & 58,8,2,10,10
14.31,LS 4,1/2 Kidney slab ,SOMSO,Cupboard 56,5,2,7,7
14.41,LS 6,Nephron,SOMSO,Cupboard 56,3,0,3,3
14.51,LS 7,Glomerulus,SOMSO,Cupboard 56,5,1,6,6
14.61,LS 3,Urinary System,SOMSO,Cupboard 55,7,1,8,8
15.01,ZoS 120,Animal Cell,SOMSO,Cupboard 58 & 59,5,2,7,7
